Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan,Price_per_m2
3800000000.0,76.8,3,1,Tây-Nam,Đông-Bắc,0,0,0,21.005802600000006,105.8549049,Tin Vip 1,Hai Bà Trưng,49479166.66666667
2600000000.0,87.0,3,2,Tây-Nam,Đông-Bắc,"Full nội thất, chỉ xách vali về ở",Công ty TNHH Thiên Hương,"Gồm 4 tòa tháp A, B, C, D có chung khối đế và 1 tầng hầm",21.0577354431152,105.91335296630899,Tin Vip 1,Long Biên,29885057.471264366
3050000000.0,81.0,2,2,Bắc,Nam,0,Tập đoàn Vingroup,Gồm 11 tòa (T1-T11),20.9947910308838,105.86784362792999,Tin Vip 1,Hai Bà Trưng,37654320.98765432
4200000000.0,117.0,3,2,Bắc,Nam,0,Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip 1,Bắc Từ Liêm,35897435.897435896
3800000000.0,153.0,4,2,Tây-Bắc,Đông-Nam,Đã có nội thất.,Công ty TNHH phát triển khu đô thị Nam Thăng Long,"Gồm: 50 toà nhà cao tầng, 2.500 căn nhà ở thấp tầng (biệt thự) và các tổ hợp văn phòng, trung tâm thương mại, trung tâm mua sắm và giải trí",21.072135925293,105.810997009277,Tin Vip 1,Tây Hồ,24836601.307189543
1900000000.0,85.0,2,2,Tây-Bắc,Đông-Nam,Full nội thất,Tổng Công ty Đầu tư phát triển nhà và đô thị Bộ Quốc Phòng ,Gồm các tòa nhà cao tầng và nhà thấp tầng,21.0341358184814,105.764106750488,Tin Vip 1,Nam Từ Liêm,22352941.17647059
2300000000.0,86.0,3,2,Bắc,Nam,"Cơ bản sàn gỗ, bếp từ, nóng lạnh, điều hoà,..",Công ty CP Đầu tư Hạ tầng và Công trình Kiến trúc Hà Nội,"3 tòa nhà chung cư 25 tầng, 83 căn biệt thự liền kề cao 3-4 tầng",21.035062789917,105.74966430664101,Tin Vip 1,Nam Từ Liêm,26744186.046511628
1776000000.0,79.2,2,2,Bắc,Nam,0,Công ty TNHH MTV đầu tư Phương Đông,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,Tin Vip 1,Hoàng Mai,22424242.424242422
1400000000.0,25.5,1,2,Bắc,Nam,0,0,6 Tòa tháp căn hộ cao từ 30-38 tầng,20.9919490814209,105.940048217773,Tin Vip 1,Gia Lâm,54901960.78431372
1790000000.0,70.0,2,2,Đông-Bắc,Đông-Nam,Nội thất: Bàn giao nguyên chủ đầu tư.,0,"2.300 căn biệt thự, 66 tòa căn hộ",20.99167709089255,105.94437026977538,Tin Vip 1,Gia Lâm,25571428.57142857
1400000000.0,63.7,2,2,Đông-Bắc,Tây-Nam,"- Full thiết bị nôi thất: Trần tường thạch cao, hệ thông điện và chiếu sáng, dây chờ điều hoà nóng lạnh. Sàn gỗ và tủ bếp.",0,2 block cao 25 tầng,20.938102722168,105.852249145508,Tin Vip 1,Thanh Trì,21978021.978021976
5500000000.0,116.0,3,2,Đông-Bắc,Tây-Nam,0,Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip 1,Bắc Từ Liêm,47413793.10344828
5600000000.0,153.0,4,4,Đông-Bắc,Tây-Nam,0,Công ty TNHH phát triển khu đô thị Nam Thăng Long,"Gồm: 50 toà nhà cao tầng, 2.500 căn nhà ở thấp tầng (biệt thự) và các tổ hợp văn phòng, trung tâm thương mại, trung tâm mua sắm và giải trí",21.072135925293,105.810997009277,Tin Vip 1,Tây Hồ,36601307.18954249
2600000000.0,75.0,2,2,Đông-Bắc,Tây-Nam,0,Tập đoàn Vingroup,Gồm 11 tòa (T1-T11),20.9947910308838,105.86784362792999,Tin Vip 1,Hai Bà Trưng,34666666.666666664
